iter	Passed	Remaining
1289	63485	428648
1290	63532	428585
1291	63585	428561
1292	63631	428494
1293	63682	428451
1294	63736	428435
1295	63783	428372
1296	63838	428359
1297	63889	428323
1298	63949	428351
1299	64000	428313
1300	64046	428240
1301	64097	428202
1302	64150	428176
1303	64205	428166
1304	64252	428102
1305	64305	428077
1306	64348	427991
1307	64404	427981
1308	64450	427915
1309	64506	427908
1310	64553	427843
1311	64617	427894
1312	64668	427856
1313	64715	427795
1314	64766	427756
1315	64811	427676
1316	64858	427611
1317	64901	427521
1318	64951	427475
1319	64999	427422
1320	65049	427376
1321	65098	427325
1322	65149	427288
1323	65195	427218
1324	65244	427166
1325	65305	427191
1326	65354	427144
1327	65396	427048
1328	65438	426952
1329	65490	426920
1330	65543	426897
1331	65590	426827
1332	65652	426866
1333	65695	426777
1334	65751	426769
1335	65796	426692
1336	65843	426630
1337	65893	426586
1338	65947	426565
1339	65995	426505
1340	66041	426436
1341	66098	426441
1342	66152	426418
1343	66205	426393
1344	66255	426350
1345	66316	426375
1346	66369	426351
1347	66416	426286
1348	66468	426253
1349	66512	426173
1350	66560	426113
1351	66614	426094
1352	66659	426016
1353	66705	425949
1354	66752	425887
1355	66791	425768
1356	66848	425768
1357	66899	425732
1358	66944	425657
1359	67009	425704
1360	67061	425676
1361	67108	425613
1362	67151	425525
1363	67194	425435
1364	67238	425352
1365	67297	425361
1366	67345	425307
1367	67398	425282
1368	67444	425208
1369	67493	425157
1370	67541	425099
1371	67588	425041
1372	67632	424958
1373	67680	424897
1374	67737	424898
1375	67800	424937
1376	67846	424865
1377	67886	424760
1378	67930	424679
1379	67976	424605
1380	68037	424632
1381	68083	424559
1382	68139	424553
1383	68194	424542
1384	68248	424519
1385	68302	424500
1386	68354	424468
1387	68407	424442
1388	68451	424360
1389	68504	424330
1390	68550	424266
1391	68595	424187
1392	68636	424085
1393	68691	424073
1394	68743	424042
1395	68798	424028
1396	68849	423990
1397	68899	423942
1398	68950	423905
1399	69007	423904
1400	69077	423978
1401	69142	424026
1402	69192	423981
1403	69239	423917
1404	69288	423865
1405	69337	423816
1406	69393	423808
1407	69436	423720
1408	69484	423663
1409	69535	423621
1410	69576	423525
1411	69630	423506
1412	69690	423520
1413	69737	423457
1414	69783	423383
1415	69829	423319
1416	69885	423310
1417	69940	423295
1418	69985	423219
1419	70028	423130
1420	70073	423056
1421	70126	423029
1422	70177	422986
1423	70229	422954
1424	70282	422929
1425	70330	422873
1426	70379	422818
1427	70426	422756
1428	70475	422703
1429	70525	422659
1430	70567	422568
1431	70614	422503
1432	70660	422433
1433	70706	422366
1434	70745	422253
1435	70789	422174
1436	70832	422084
1437	70875	422002
1438	70924	421951
1439	70976	421913
1440	71028	421882
1441	71067	421769
1442	71117	421727
1443	71153	421601
1444	71195	421508
1445	71241	421438
1446	71304	421467
1447	71359	421452
1448	71410	421414
1449	71452	421323
1450	71494	421232
1451	71538	421148
1452	71591	421125
1453	71647	421113
1454	71700	421083
1455	71744	421003
1456	71792	420950
1457	71839	420884
1458	71886	420822
1459	71928	420734
1460	71974	420661
1461	72019	420589
1462	72071	420557
1463	72109	420442
1464	72154	420364
1465	72210	420357
1466	72264	420333
1467	72310	420269
1468	72362	420236
1469	72409	420170
1470	72456	420111
1471	72500	420031
1472	72549	419982
1473	72596	419918
1474	72646	419870
1475	72696	419827
1476	72739	419739
1477	72785	419672
1478	72837	419640
1479	72886	419588
1480	72942	419578
1481	72990	419521
1482	73032	419431
1483	73084	419399
1484	73133	419346
1485	73180	419287
1486	73225	419214
1487	73274	419161
1488	73328	419140
1489	73380	419107
1490	73428	419050
1491	73473	418977
1492	73522	418925
1493	73573	418883
1494	73622	418836
1495	73671	418786
1496	73718	418723
1497	73766	418668
1498	73807	418571
1499	73853	418504
1500	73900	418438
1501	73953	418410
1502	74002	418361
1503	74053	418322
1504	74101	418266
1505	74150	418218
1506	74191	418121
1507	74237	418055
1508	74294	418049
1509	74348	418025
1510	74407	418028
1511	74460	418002
1512	74514	417980
1513	74553	417871
1514	74603	417831
1515	74649	417760
1516	74689	417659
1517	74736	417598
1518	74779	417516
1519	74823	417436
1520	74866	417354
1521	74914	417296
1522	74961	417233
1523	75002	417141
1524	75050	417085
1525	75110	417092
1526	75159	417042
1527	75212	417016
1528	75261	416967
1529	75314	416938
1530	75355	416842
1531	75407	416810
1532	75451	416729
1533	75489	416616
1534	75534	416548
1535	75581	416484
1536	75632	416447
1537	75676	416366
1538	75725	416315
1539	75778	416290
1540	75821	416208
